Start Time, Stop Time, Src IP, Src Country, Src Port, Dst IP, Dst Country, Dst Port, Packets, Data bytes, Bytes, Arkime Node, URI, Sender, Receiver, Subject, Filenames, Host, Alt Name, Channel
1691735813056,1691735813060,10.10.176.136,,57365,10.10.128.160,,7680,11,182,830,hanlab,,,,,,,,
1691735813067,1691735813067,10.10.128.73,,55878,211.115.106.209,KR,80,1,0,66,hanlab,,,,,,,,
1691735813084,1691735813085,10.10.132.240,,62169,10.10.128.169,,161,2,106,190,hanlab,,,,,,,,
1691735596693,1691735813091,10.10.120.230,,50179,10.10.1.45,,1521,7722,0,2983266,hanlab,,,,,,,,
1691735800191,1691735813097,10.11.10.25,,64415,10.10.128.22,,49668,80,50304,54762,hanlab,,,,,,,,
1691735801438,1691735813098,10.11.10.25,,64422,10.10.128.22,,49668,16,2864,3794,hanlab,,,,,,,,
1691735800237,1691735813098,10.11.10.25,,64416,10.10.128.22,,135,242,39708,52836,hanlab,,,,,,,,
1691735800237,1691735813098,10.11.10.25,,64417,10.10.128.22,,135,12,584,1292,hanlab,,,,,,,,
1691735812988,1691735813102,10.10.128.73,,62759,142.250.207.98,US,443,14,9721,10309,hanlab,,,,,,,,
1691735812999,1691735813103,10.10.128.17,,61241,224.0.0.252,,5355,4,88,256,hanlab,,,,,,"wpad",,
1691735596098,1691735813103,10.10.162.230,,53816,255.255.255.255,,55555,436,78916,97228,hanlab,,,,,,,,
1691735813005,1691735813105,10.10.128.17,,63000,224.0.0.252,,5355,4,88,256,hanlab,,,,,,"wpad",,
1691735777819,1691735813113,10.10.128.73,,55799,34.120.179.252,US,443,38,13813,15973,hanlab,,,,,,,,
1691735602997,1691735813116,14.56.119.29,KR,24211,10.10.140.114,,64755,44,0,2750,hanlab,,,,,,,,
1691735813125,1691735813125,fe80::f944:eba5:4813:5c34,,0,fe80::b2b9:8aff:fe45:ad06,,0,1,32,86,hanlab,,,,,,,,
1691735813125,1691735813125,fe80::f944:eba5:4813:5c34,,0,fe80::b2b9:8aff:fe45:acb2,,0,1,32,86,hanlab,,,,,,,,
1691735813130,1691735813130,10.11.11.166,,49180,10.10.1.45,,1521,1,0,60,hanlab,,,,,,,,
1691735813133,1691735813133,10.10.1.254,,52261,10.10.1.45,,1521,1,0,209,hanlab,,,,,,,,
